fecha_hecho;cantidad;latitud;longitud;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida;fecha_ingestion
2018-01-05T12:00:00.000-05:00;1.0;6.25482199;-75.61550051;Mujer;58;Casado(a);Delincuencia;Sin dato;Sin dato;Enfermero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;San Javier No.1;#1309;13;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-05T09:30:00.000-05:00;1.0;6.25489131;-75.60340911;Hombre;37;Soltero(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;La Floresta;#1205;12;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-05T09:30:00.000-05:00;1.0;6.25787749;-75.57744533;Hombre;53;Casado(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Carlos E. Restrepo;#1101;11;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-09T10:10:00.000-05:00;1.0;6.25911932;-75.60402784;Mujer;35;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Santa Lucía;#1206;12;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-11T18:16:00.000-05:00;1.0;6.23180115;-75.5436334;Mujer;62;Casado(a);Delincuencia;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Los Cerros el Vergel;#0904;9;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-12T14:00:00.000-05:00;1.0;6.19976359;-75.57325063;Mujer;51;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Los Balsos No.2;#1415;14;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-13T19:00:00.000-05:00;1.0;6.24345301;-75.56070298;Mujer;26;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Bomboná No.1;#1015;10;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-13T17:20:00.000-05:00;1.0;6.25614977;-75.60068399;Mujer;67;Casado(a);Delincuencia;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;La Floresta;#1205;12;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-14T19:30:00.000-05:00;1.0;6.28798366;-75.53833336;Hombre;30;Unión marital de hecho;Delincuencia;Sin dato;Sin dato;Independiente;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Carpinelo;#0112;1;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-15T21:13:00.000-05:00;1.0;6.28380324;-75.57380825;Hombre;19;Soltero(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Alfonso López;#0514;5;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-15T10:00:00.000-05:00;1.0;6.21936019;-75.56593332;Hombre;37;Soltero(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Asomadera No.2;#0915;9;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-15T18:00:00.000-05:00;1.0;6.25880534;-75.59114605;Hombre;33;Soltero(a);Delincuencia;Sin dato;Sin dato;Maestro de obra;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Estadio;#1113;11;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-15T00:00:00.000-05:00;1.0;6.24405867;-75.59509146;Hombre;39;Casado(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Laureles;#1108;11;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-19T14:00:00.000-05:00;1.0;6.23672322;-75.54769427;Mujer;65;Casado(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Tío/Tía;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Los Cerros el Vergel;#0904;9;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-21T12:00:00.000-05:00;1.0;6.27777194;-75.61552049;Mujer;19;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Santa Margarita;#0720;7;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-22T11:40:00.000-05:00;1.0;6.2734414;-75.61031735;Mujer;21;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Intima;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Olaya Herrera;#0722;7;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-24T10:00:00.000-05:00;1.0;6.29742063;-75.58032741;Mujer;50;Soltero(a);Delincuencia;Sin dato;Sin dato;Técnico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;San Martín de Porres;#0606;6;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-25T12:53:00.000-05:00;1.0;6.21206438;-75.59418768;Hombre;42;Casado(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Diego Echavarría;#1607;16;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-26T11:00:00.000-05:00;1.0;6.26685727;-75.56105167;Hombre;72;Soltero(a);Delincuencia;Sin dato;Sin dato;Independiente;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;San Pedro;#0408;4;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-27T13:00:00.000-05:00;1.0;6.28077988;-75.5607298;Hombre;44;Casado(a);Delincuencia;Sin dato;Sin dato;Conductor;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Aranjuez;#0413;4;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-27T09:00:00.000-05:00;1.0;6.27349068;-75.61042432;Mujer;21;Soltero(a);Delincuencia;Sin dato;Sin dato;Estudiante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Intima;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Olaya Herrera;#0722;7;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-29T15:00:00.000-05:00;1.0;6.24063472;-75.57502329;Hombre;38;Casado(a);Delincuencia;Sin dato;Sin dato;Pintor;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Calle Nueva;#1011;10;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-29T14:00:00.000-05:00;1.0;6.24292508;-75.62142819;Hombre;41;Casado(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Betania;#1312;13;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-30T12:00:00.000-05:00;1.0;6.2853629;-75.57210505;Mujer;48;Divorciado(a);Delincuencia;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Francisco Antonio Zea;#0513;5;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-01-31T10:00:00.000-05:00;1.0;6.24808168;-75.57277828;Hombre;44;Casado(a);Delincuencia;Sin dato;Sin dato;Comerciante;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Guayaquil;#1007;10;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-01T09:00:00.000-05:00;1.0;6.24457818;-75.58225185;Hombre;45;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Los Conquistadores;#1105;11;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-01T13:30:00.000-05:00;1.0;6.20936598;-75.56668723;Mujer;74;Casado(a);Delincuencia;Sin dato;Sin dato;Desempleado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;El Poblado;#1418;14;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-02T22:30:00.000-05:00;1.0;6.30963295;-75.56184281;Hombre;29;Unión marital de hecho;Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Microextorsión;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Las Brisas;#0502;5;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-03T14:00:00.000-05:00;1.0;6.27555603;-75.59591324;Mujer;28;Soltero(a);Delincuencia;Sin dato;Sin dato;Empleado sector privado;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Robledo;#0717;7;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-03T10:00:00.000-05:00;1.0;6.25191066;-75.60378219;Mujer;64;Casado(a);Delincuencia;Sin dato;Sin dato;Independiente;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;La América;#1204;12;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-04T11:30:00.000-05:00;1.0;6.26747582;-75.56139499;Mujer;22;Unión marital de hecho;Delincuencia;Sin dato;Sin dato;Técnico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;San Pedro;#0408;4;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-04T00:00:00.000-05:00;1.0;6.22329187;-75.62842683;Sin dato;-1;Sin dato;Delincuencia;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Clásica;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Altavista Sector Central;#7005;70;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
2018-02-04T09:00:00.000-05:00;1.0;6.24965612;-75.61146244;Hombre;54;Casado(a);Delincuencia;Sin dato;Sin dato;Administrador;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Extorsión;Microextorsión;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Santa Mónica;#1209;12;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;2021-12-06T04:05:36.000-05:00
